satisfaction,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Seat comfort,Departure/Arrival time convenient,Food and drink,Gate location,Inflight wifi service,Inflight entertainment,Online support,Ease of Online booking,On-board service,Leg room service,Baggage handling,Checkin service,Cleanliness,Online boarding,Departure Delay in Minutes,Arrival Delay in Minutes
1,0,0,1.6913508213371766,1,1,-1.6711027004576011,0,0,0,2,2,4,2,3,3,0,3,5,3,2,-0.38648106227660245,-0.3916437116430161
1,1,0,0.5008196510880525,1,0,0.4698524690846367,0,0,0,3,0,2,2,3,4,4,4,2,3,2,7.756204070419961,7.54771420760874
1,0,0,-1.6156802071326126,1,1,0.15245756900697888,0,0,0,3,2,0,2,2,3,3,4,4,4,2,-0.38648106227660245,-0.3916437116430161
1,0,0,1.3606477184901977,1,1,-1.3225524727649585,0,0,0,3,3,4,3,1,1,0,1,4,1,3,-0.38648106227660245,-0.3916437116430161
1,0,0,2.0220539241841555,1,1,-1.5844519455284247,0,0,0,3,4,3,4,2,2,0,2,4,2,5,-0.38648106227660245,-0.3916437116430161
1,1,0,-0.6235708985916758,1,1,-0.08510180405728035,0,0,0,3,2,0,2,2,5,4,5,5,4,2,-0.38648106227660245,-0.3916437116430161
1,0,0,1.7574914419065724,1,1,-1.7080996520003957,0,0,0,3,2,5,5,5,5,0,5,5,5,3,0.06005328370998332,-0.0011834861060444476
1,1,0,-1.9463833099795915,1,1,-0.16493733107067896,0,0,0,3,2,0,2,2,3,3,4,5,4,2,-0.38648106227660245,-0.3916437116430161
1,0,0,1.0960852362126146,1,0,-1.85803466614751,0,0,0,3,5,3,5,4,4,0,1,5,4,4,-0.38648106227660245,-0.3916437116430161
1,1,0,-1.152695863146842,1,1,-0.41417995199055746,0,0,0,3,2,0,2,2,2,4,5,3,4,2,0.4015207247585489,0.2851540126210681
1,0,0,1.228366477351406,1,1,-1.8278529425204935,0,0,0,3,3,3,3,3,3,0,1,2,3,5,0.8480550707451348,0.8578290100752931
1,0,0,-0.3590084163140927,1,1,1.6079955310195508,0,0,0,4,2,0,2,2,3,2,5,2,5,2,-0.38648106227660245,-0.3916437116430161
1,1,0,1.4929289596289892,1,1,-0.27884899766296717,0,0,0,4,5,0,5,5,1,3,2,2,4,5,-0.38648106227660245,-0.3916437116430161
1,1,0,-0.2928677957446969,1,1,-0.20972311451721962,0,1,0,1,4,0,4,4,3,5,2,3,2,4,-0.38648106227660245,-0.3916437116430161
1,0,0,0.5008196510880525,1,1,-1.8473250222798592,0,1,0,1,5,2,1,5,5,0,5,2,5,2,0.6641879871035994,0.8578290100752931
1,1,0,1.3606477184901977,1,1,-0.5923494817887519,0,1,0,1,1,0,1,1,3,4,1,4,2,1,-0.38648106227660245,-0.3916437116430161
1,0,0,-1.747961448271404,1,1,1.6664117702976473,0,1,0,2,4,0,4,4,4,4,1,3,1,4,-0.2551474311040772,-0.3916437116430161
1,0,0,0.8315227539350314,1,0,0.6119986513280049,0,1,0,2,1,2,2,1,1,0,1,2,1,3,-0.38648106227660245,-0.3916437116430161
1,0,0,1.0299446156432188,1,1,0.5574768280017814,0,1,0,2,0,1,1,2,1,1,2,1,3,1,-0.38648106227660245,-0.3916437116430161
1,0,0,-0.7558521397304674,1,1,1.0841965854926185,0,1,0,2,3,0,3,3,2,5,2,3,2,3,-0.38648106227660245,-0.3916437116430161
1,0,0,-2.012523930548987,1,1,1.2886534229659565,0,1,0,2,3,0,5,3,1,1,1,3,3,3,-0.38648106227660245,-0.3916437116430161
1,0,0,-1.9463833099795915,1,1,0.10572457758450164,0,1,0,2,1,0,1,1,3,5,1,4,2,1,-0.38648106227660245,-0.3916437116430161
1,0,0,-0.9542740014386547,1,1,0.13687990519948645,0,1,0,2,2,0,4,2,4,1,3,1,3,2,-0.38648106227660245,-0.3916437116430161
1,1,0,0.8976633745044271,1,0,-0.8591169744920594,0,1,0,2,1,3,3,1,1,0,1,3,1,1,-0.38648106227660245,-0.3916437116430161
1,0,0,-1.5495395865632167,1,2,-0.22822159028861685,0,1,0,2,2,0,2,2,3,3,2,4,3,2,-0.38648106227660245,-0.3916437116430161
1,1,0,-0.6235708985916758,1,1,-0.16006931113083758,0,1,0,2,4,0,4,4,2,1,3,3,2,4,-0.38648106227660245,-0.3916437116430161
1,1,0,1.6252102007677807,1,1,-0.26716574980734786,0,1,0,2,5,0,3,5,4,4,2,3,2,5,-0.38648106227660245,-0.3916437116430161
1,0,0,0.17011654824107356,1,1,-1.4715138829241048,0,1,0,2,3,2,2,3,3,0,3,1,3,4,-0.33394760980759236,0.20706196751367376
1,1,0,-2.012523930548987,1,1,-0.9827646809640304,0,1,0,2,4,0,4,4,4,3,3,1,3,4,-0.38648106227660245,-0.3916437116430161
1,0,0,-0.2928677957446969,1,1,1.668358978273584,0,1,0,3,0,4,4,2,2,3,4,4,3,4,-0.38648106227660245,-0.3916437116430161
1,1,0,1.4929289596289892,1,2,0.9410767992612821,0,1,0,3,5,0,5,5,4,1,2,2,2,5,0.5065876296965691,0.10293924070381466
1,0,0,-1.2188364837162378,1,1,0.8193763007652476,0,1,0,3,2,0,2,2,2,2,2,2,3,2,-0.28141415733858227,-0.3916437116430161
1,0,0,-1.2849771042856337,1,1,0.4902981528319705,0,1,0,3,2,0,2,2,2,3,3,4,3,2,-0.38648106227660245,-0.3916437116430161
1,0,0,-0.888133380869259,1,1,0.4153306457584133,0,1,0,3,4,0,4,4,1,4,4,2,3,4,-0.38648106227660245,-0.3916437116430161
